"Student_ID","Term","Section_ID","Instructor_ID","Main_CourseID","Gender","Age","Ethnicity","FirstGen","Military","FosterYouth","DSPS","FinAid","Units_Attempted_Beg_Of_Term","GPA_Beg_Of_Term","TermUnitsAttempted","K12_Student","First_Time_College_Student","Nonresident_Tuition_Exempt","International","Nonresident","WR_Center","Main_Course_SuccessFlag","Main_Course_GradePoints","HS_GPA","Online","N_Center_Visits","Center_Attendance_Hours","N_Conf"
46,"Year 1 Fall",77,1658,"ENG 1","Female",21,"White, Non-Hispanic",1,0,0,0,1,44,3.11363636363636,15,0,0,0,0,0,0,0,1,2.4,0,NA,NA,NA
53,"Year 1 Fall",111,8605,"ENG 1","Female",36,"African American",1,0,0,0,1,57,2.14035087719298,11,0,0,0,0,0,0,1,2,NA,1,NA,NA,NA
55,"Year 1 Fall",92,1597,"ENG 1","Male",24,"Hispanic / Latino",0,0,0,1,0,70.5,3.21985815602837,7,0,0,0,0,0,0,1,4,3.271,0,NA,NA,NA
58,"Year 1 Fall",99,2357,"ENG 1","Male",22,"Hispanic / Latino",0,0,0,0,1,19,1.73684210526316,7,0,0,0,0,0,0,1,3,2.4,0,NA,NA,NA
62,"Year 1 Fall",94,1649,"ENG 1","Male",19,"Decline to State",0,0,0,0,0,24,2.75,0,0,0,0,0,0,0,0,0,3.25,0,NA,NA,NA
65,"Year 1 Fall",72,2038,"ENG 1","Male",23,"Hispanic / Latino",1,0,0,0,1,13,2.76923076923077,4,0,0,0,0,0,0,1,2,2.5,0,NA,NA,NA
76,"Year 1 Fall",99,2357,"ENG 1","Male",22,"Hispanic / Latino",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,NA,NA
78,"Year 1 Fall",103,9412,"ENG 1","Female",18,"Mixed Ethnicity",1,0,0,0,0,0,0,12,0,1,0,0,0,0,1,4,3.7,0,NA,NA,NA
81,"Year 1 Fall",110,3598,"ENG 1","Decline",58,"White, Non-Hispanic",1,0,0,0,0,30.5,3.27868852459016,4,0,0,0,0,0,1,1,4,NA,0,22,26.8261111111111,7
86,"Year 1 Fall",87,3984,"ENG 1","Female",32,"White, Non-Hispanic",1,0,0,0,1,25.5,2.43137254901961,14,0,0,0,0,0,1,1,4,3,0,43,49.4675,32
93,"Year 1 Fall",72,2038,"ENG 1","Female",22,"White, Non-Hispanic",0,0,0,0,0,41,2.07317073170732,5,0,0,0,0,0,0,1,3,2.9,0,NA,NA,NA
97,"Year 1 Fall",105,1612,"ENG 1","Female",22,"Asian",0,0,0,0,1,34.5,2.34782608695652,13,0,0,0,0,0,0,1,3,2.729,0,NA,NA,NA
98,"Year 1 Fall",103,9412,"ENG 1","Female",22,"White, Non-Hispanic",1,0,0,0,1,49.5,2.1010101010101,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA
99,"Year 1 Fall",221,9102,"ENG 1","Female",26,"White, Non-Hispanic",1,0,0,0,1,50,2.72,13,0,0,0,0,0,0,1,3,3,0,NA,NA,NA
109,"Year 1 Fall",95,2351,"ENG 1","Male",21,"Asian",1,0,0,0,1,25.5,3.64705882352941,9,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA
112,"Year 1 Fall",87,3984,"ENG 1","Female",20,"Mixed Ethnicity",1,0,0,1,1,46,2.93478260869565,13,0,0,0,0,0,0,1,3,3.119,0,NA,NA,NA
113,"Year 1 Fall",115,1938,"ENG 1","Male",50,"White, Non-Hispanic",0,0,0,0,1,43,3.76744186046512,7.5,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA
118,"Year 1 Fall",115,1938,"ENG 1","Female",22,"White, Non-Hispanic",1,0,0,0,1,57.5,2.83478260869565,14,0,0,0,0,0,1,1,4,NA,1,18,25.6508333333333,1
124,"Year 1 Fall",81,2001,"ENG 1","Male",26,"Asian",0,0,0,0,1,48,2.77083333333333,12,0,0,0,0,0,0,1,4,2.5,0,NA,NA,NA
135,"Year 1 Fall",79,9014,"ENG 1","Male",23,"Asian",0,0,0,1,0,66.5,2.44360902255639,9,0,0,0,1,0,0,0,0,NA,0,NA,NA,NA
138,"Year 1 Fall",108,8975,"ENG 1","Male",25,"White, Non-Hispanic",0,0,0,0,1,0,0,9,0,0,0,0,0,1,1,3,3.2,0,57,52.4425,5
140,"Year 1 Fall",115,1938,"ENG 1","Female",47,"Asian",0,0,0,0,1,72.5,3.93103448275862,7,0,0,0,0,0,0,1,4,NA,1,NA,NA,NA
141,"Year 1 Fall",82,1658,"ENG 1","Male",21,"Hispanic / Latino",1,0,0,0,1,75,2.78666666666667,20,0,0,0,0,0,0,1,2,3.12,0,NA,NA,NA
146,"Year 1 Fall",87,3984,"ENG 1","Female",37,"White, Non-Hispanic",1,0,0,0,0,28,3.48214285714286,4,0,0,0,0,0,1,1,4,NA,0,18,24.3394444444444,8
147,"Year 1 Fall",98,1980,"ENG 1","Male",25,"Hispanic / Latino",1,0,0,0,1,18,3.44444444444444,10.5,0,0,0,0,0,0,0,0,2.5,0,NA,NA,NA
149,"Year 1 Fall",164,9935,"ENG 1","Male",23,"Mixed Ethnicity",1,0,0,0,1,78.5,2.50955414012739,7,0,0,0,0,0,0,1,2,NA,0,NA,NA,NA
151,"Year 1 Fall",92,1597,"ENG 1","Female",24,"Asian",1,0,0,0,0,79.5,2.85534591194969,13,0,0,0,1,0,1,1,3,NA,0,16,26.9063888888889,1
163,"Year 1 Fall",98,1980,"ENG 1","Male",21,"Mixed Ethnicity",0,0,0,0,1,49,2.97959183673469,7,0,0,0,0,0,0,1,3,3.148,0,NA,NA,NA
166,"Year 1 Fall",109,8483,"ENG 1","Male",21,"African American",0,0,0,0,1,60.5,2.58677685950413,9,0,0,0,0,0,1,1,2,NA,0,31,26.1638888888889,3
171,"Year 1 Fall",111,8605,"ENG 1","Female",21,"White, Non-Hispanic",0,0,0,1,0,29.5,2.27118644067797,15,0,0,0,0,0,1,1,3,3.4,1,29,27.7425,9
177,"Year 1 Fall",115,1938,"ENG 1","Male",41,"Mixed Ethnicity",1,0,0,0,1,20,3.05,9,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA
178,"Year 1 Fall",111,8605,"ENG 1","Female",56,"White, Non-Hispanic",0,0,0,0,0,10.5,1.71428571428571,3,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA
182,"Year 1 Fall",109,8483,"ENG 1","Male",48,"Hispanic / Latino",0,0,0,0,1,9,0,11,0,0,0,0,0,1,0,0,NA,0,43,36.8538888888889,4
183,"Year 1 Fall",77,1658,"ENG 1","Female",40,"Asian",1,0,0,0,1,34.5,3.76811594202899,11,0,0,0,0,0,0,1,0,3.5,0,NA,NA,NA
184,"Year 1 Fall",94,1649,"ENG 1","Decline",30,"White, Non-Hispanic",0,0,0,0,0,48,3.13541666666667,12,0,0,0,0,0,0,1,4,NA,0,NA,NA,NA
186,"Year 1 Fall",84,2001,"ENG 1","Male",30,"White, Non-Hispanic",0,0,0,0,1,77.5,3.12258064516129,15,0,0,0,0,0,0,1,4,NA,0,NA,NA,NA
189,"Year 1 Fall",96,1900,"ENG 1","Female",28,"White, Non-Hispanic",0,0,0,0,1,22,4,7,0,0,0,0,0,1,1,4,3.4,0,14,25.0472222222222,NA
191,"Year 1 Fall",88,8483,"ENG 1","Male",30,"Hispanic / Latino",1,0,0,0,1,66.5,2.90225563909774,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA
192,"Year 1 Fall",114,1938,"ENG 1","Female",43,"Mixed Ethnicity",0,0,0,0,0,3.5,3.14285714285714,4,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA
193,"Year 1 Fall",115,1938,"ENG 1","Male",43,"Asian",0,0,0,0,1,104,2.75,4,0,0,0,0,0,1,1,4,NA,1,NA,NA,NA
197,"Year 1 Fall",99,2357,"ENG 1","Male",31,"Hispanic / Latino",0,0,0,1,0,79.5,2.46540880503145,11,0,0,1,0,0,0,1,3,NA,0,NA,NA,NA
215,"Year 1 Fall",166,2321,"ENG 1","Female",48,"Mixed Ethnicity",1,0,0,0,0,16,2.375,10,0,0,0,0,0,0,1,3,3,0,NA,NA,NA
221,"Year 1 Fall",112,9569,"ENG 1","Female",41,"White, Non-Hispanic",1,0,0,0,1,48,3.91666666666667,4,0,0,0,0,0,0,1,4,NA,1,NA,NA,NA
222,"Year 1 Fall",114,1938,"ENG 1","Decline",25,"Hispanic / Latino",1,1,0,0,1,52.5,2.25714285714286,13,0,0,0,0,0,0,1,2,3.67,1,NA,NA,NA
235,"Year 1 Fall",100,910,"ENG 1","Female",24,"White, Non-Hispanic",0,0,0,0,1,40.5,2.44444444444444,7,0,0,0,0,0,0,1,4,NA,0,NA,NA,NA
239,"Year 1 Fall",115,1938,"ENG 1","Female",26,"African American",1,0,0,0,1,53.5,2.37383177570093,7,0,0,0,0,0,0,1,2,3,1,NA,NA,NA
247,"Year 1 Fall",101,3984,"ENG 1","Female",24,"Hispanic / Latino",0,0,0,0,1,24.5,2.20408163265306,4.5,0,0,0,0,0,0,0,1,1.784,0,NA,NA,NA
248,"Year 1 Fall",104,1612,"ENG 1","Male",25,"Hispanic / Latino",1,0,0,0,1,32.5,1.33846153846154,7,0,0,0,0,0,0,0,0,2.5,0,NA,NA,NA
250,"Year 1 Fall",91,5224,"ENG 1","Decline",36,"White, Non-Hispanic",0,1,0,0,0,40,2.625,12,0,0,0,0,0,0,1,4,2.2,0,NA,NA,NA
252,"Year 1 Fall",113,9569,"ENG 1","Male",25,"White, Non-Hispanic",0,0,0,0,1,79.5,2.70440251572327,10,0,0,0,0,0,0,1,3,2.5,1,NA,NA,NA
255,"Year 1 Fall",102,1672,"ENG 1","Male",22,"Mixed Ethnicity",0,0,0,0,0,39,2.92307692307692,4,0,0,0,0,0,0,1,4,2.8,0,NA,NA,NA
270,"Year 1 Fall",83,9927,"ENG 1","Female",19,"Hispanic / Latino",0,0,0,0,1,23,3.69565217391304,16,0,0,0,0,0,0,1,4,3.7,0,NA,NA,NA
272,"Year 1 Fall",99,2357,"ENG 1","Male",42,"African American",0,0,0,0,1,20,2.55,10,0,0,0,0,0,1,1,4,NA,0,21,24.9108333333333,NA
282,"Year 1 Fall",101,3984,"ENG 1","Female",44,"White, Non-Hispanic",1,0,0,0,1,110.5,3.6289592760181,7,0,0,0,0,0,0,1,3,NA,0,NA,NA,NA
283,"Year 1 Fall",88,8483,"ENG 1","Male",25,"White, Non-Hispanic",0,0,0,0,1,26,2.61538461538462,3,0,0,0,0,0,0,1,0,2.7,0,NA,NA,NA
291,"Year 1 Fall",97,1833,"ENG 1","Male",23,"Mixed Ethnicity",0,0,0,0,0,64,2.125,14,0,0,0,0,0,0,0,1,NA,0,NA,NA,NA
296,"Year 1 Fall",83,9927,"ENG 1","Female",21,"Asian",0,0,0,0,1,15.5,2.51612903225806,0,0,0,0,0,0,0,0,0,2.8,0,NA,NA,NA
298,"Year 1 Fall",164,9935,"ENG 1","Male",18,"Asian",0,0,0,0,0,3,4,16,0,1,0,0,0,0,1,4,3.48,0,NA,NA,NA
300,"Year 1 Fall",104,1612,"ENG 1","Female",21,"Hispanic / Latino",0,0,1,1,1,8,2.625,9,0,0,0,0,0,1,0,0,2.5,0,24,24.7305555555556,4
301,"Year 1 Fall",77,1658,"ENG 1","Male",19,"White, Non-Hispanic",1,0,0,0,1,25,2.64,12,0,0,0,0,0,1,1,3,2.43,0,17,25.1233333333333,NA
305,"Year 1 Fall",72,2038,"ENG 1","Female",22,"Mixed Ethnicity",0,0,0,0,1,56,2.66071428571429,10,0,0,0,0,0,0,1,2,NA,0,NA,NA,NA
308,"Year 1 Fall",101,3984,"ENG 1","Female",21,"White, Non-Hispanic",0,0,0,1,1,52.5,3.12380952380952,7,0,0,0,0,0,0,1,3,NA,0,NA,NA,NA
309,"Year 1 Fall",84,2001,"ENG 1","Male",21,"White, Non-Hispanic",0,0,0,0,0,40,3.225,8,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA
316,"Year 1 Fall",98,1980,"ENG 1","Female",21,"Decline to State",0,0,0,0,0,47,3.06382978723404,4,0,0,0,0,0,0,1,2,NA,0,NA,NA,NA
317,"Year 1 Fall",87,3984,"ENG 1","Decline",18,"Decline to State",0,0,0,0,0,0,0,15,0,1,0,0,0,0,1,4,3.82,0,NA,NA,NA
318,"Year 1 Fall",99,2357,"ENG 1","Female",25,"Hispanic / Latino",0,0,0,0,0,45,2.2,13,0,0,1,0,0,0,1,4,2.848,0,NA,NA,NA
319,"Year 1 Fall",72,2038,"ENG 1","Male",21,"White, Non-Hispanic",0,0,0,1,0,21,2.28571428571429,4,0,0,0,0,0,0,0,0,1.697,0,NA,NA,NA
323,"Year 1 Fall",102,1672,"ENG 1","Male",20,"White, Non-Hispanic",0,0,0,0,0,48,2.125,13,0,0,0,0,0,0,0,0,3.3,0,NA,NA,NA
327,"Year 1 Fall",83,9927,"ENG 1","Female",29,"Hispanic / Latino",0,0,0,1,1,27.5,2.8,4,0,0,0,0,0,0,1,4,2.671,0,NA,NA,NA
328,"Year 1 Fall",94,1649,"ENG 1","Male",18,"Mixed Ethnicity",0,0,0,0,0,4,3,15,0,1,0,0,0,0,1,2,3.14,0,NA,NA,NA
329,"Year 1 Fall",77,1658,"ENG 1","Male",21,"Asian",1,1,0,1,1,37,1.91891891891892,0,0,0,0,0,0,0,0,0,3,0,NA,NA,NA
330,"Year 1 Fall",70,9412,"ENG 1","Female",19,"White, Non-Hispanic",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2.67,0,NA,NA,NA
331,"Year 1 Fall",90,2321,"ENG 1","Male",21,"Mixed Ethnicity",0,0,0,0,1,20,3.5,16,0,0,0,0,0,0,1,3,3.1,0,NA,NA,NA
333,"Year 1 Fall",73,9589,"ENG 1","Female",18,"Mixed Ethnicity",0,0,0,0,0,21,0.857142857142857,0,0,0,0,0,0,0,0,1,2.6,0,NA,NA,NA
334,"Year 1 Fall",93,2017,"ENG 1","Male",22,"Mixed Ethnicity",1,0,0,0,1,49,2.83673469387755,12,0,0,0,0,0,0,1,4,3,0,NA,NA,NA
335,"Year 1 Fall",82,1658,"ENG 1","Female",19,"Mixed Ethnicity",1,0,0,0,0,23,3.73913043478261,19,0,0,0,0,0,0,1,3,3.02,0,NA,NA,NA
336,"Year 1 Fall",221,9102,"ENG 1","Female",17,"Mixed Ethnicity",0,0,0,0,0,17,3.11764705882353,18,0,0,0,0,0,0,1,3,3.8,0,NA,NA,NA
337,"Year 1 Fall",88,8483,"ENG 1","Male",18,"Asian",1,0,0,0,1,6,3.5,16,0,1,0,0,0,0,1,3,3.5,0,NA,NA,NA
340,"Year 1 Fall",82,1658,"ENG 1","Male",21,"White, Non-Hispanic",0,0,0,0,0,36,3.69444444444444,14,0,0,0,0,0,0,1,3,3.89,0,NA,NA,NA
341,"Year 1 Fall",86,1515,"ENG 1","Male",18,"White, Non-Hispanic",0,0,0,0,1,0,0,8.5,0,1,0,0,0,0,0,1,2.8,0,NA,NA,NA
342,"Year 1 Fall",115,1938,"ENG 1","Female",52,"Asian",0,0,0,0,1,50.5,3.2970297029703,7,0,0,0,0,0,0,1,3,NA,1,NA,NA,NA
343,"Year 1 Fall",81,2001,"ENG 1","Female",18,"White, Non-Hispanic",0,0,0,0,1,10,4,4,0,0,0,0,0,0,0,0,3.9,0,NA,NA,NA
345,"Year 1 Fall",95,2351,"ENG 1","Female",18,"Mixed Ethnicity",1,0,0,0,1,32,2.625,13,0,0,0,0,0,0,1,2,3.1,0,NA,NA,NA
347,"Year 1 Fall",98,1980,"ENG 1","Female",17,"Asian",0,0,0,0,1,5,4,11,0,1,0,0,0,0,1,4,3.73,0,NA,NA,NA
348,"Year 1 Fall",106,2017,"ENG 1","Male",21,"Asian",1,0,0,0,1,39,2,6,0,0,1,0,0,0,0,0,NA,0,NA,NA,NA
350,"Year 1 Fall",90,2321,"ENG 1","Male",19,"Asian",0,1,1,0,1,10,3.5,14,0,0,0,0,0,0,1,3,3,0,NA,NA,NA
351,"Year 1 Fall",166,2321,"ENG 1","Female",16,"Asian",0,0,0,0,0,36,4,8,1,0,0,0,0,0,1,4,3.8,0,NA,NA,NA
354,"Year 1 Fall",91,5224,"ENG 1","Male",17,"White, Non-Hispanic",0,0,0,1,0,3,3,13.5,0,1,0,0,0,0,1,3,2.7,0,NA,NA,NA
355,"Year 1 Fall",99,2357,"ENG 1","Female",21,"White, Non-Hispanic",0,0,0,0,1,37,2.21621621621622,0,0,0,0,0,0,0,0,0,2.8,0,NA,NA,NA
356,"Year 1 Fall",77,1658,"ENG 1","Female",49,"Asian",1,0,0,0,1,83,3.60240963855422,4,0,0,0,0,0,1,1,4,NA,0,25,24.2175,19
357,"Year 1 Fall",80,9935,"ENG 1","Female",18,"White, Non-Hispanic",0,0,0,1,0,0,0,13,0,1,0,0,0,0,1,4,2.68,0,NA,NA,NA
358,"Year 1 Fall",99,2357,"ENG 1","Female",18,"White, Non-Hispanic",1,0,0,0,1,3,2,15,0,1,0,0,0,0,1,3,3.5,0,NA,NA,NA
360,"Year 1 Fall",87,3984,"ENG 1","Male",19,"White, Non-Hispanic",0,0,0,0,1,30,3.9,18,0,0,0,0,0,1,1,4,3.9,0,8,6.8375,2
361,"Year 1 Fall",166,2321,"ENG 1","Decline",16,"Asian",0,0,0,0,0,36,3.91666666666667,8,1,0,0,0,0,0,1,4,NA,0,NA,NA,NA
362,"Year 1 Fall",166,2321,"ENG 1","Female",16,"Asian",0,0,0,0,0,44,3.11363636363636,8,1,0,0,0,0,0,1,3,3.07,0,NA,NA,NA
363,"Year 1 Fall",165,1953,"ENG 1","Female",17,"White, Non-Hispanic",0,0,0,0,0,45,3.93333333333333,8,1,0,0,0,0,1,1,4,3.936,0,NA,NA,NA
364,"Year 1 Fall",165,1953,"ENG 1","Female",16,"White, Non-Hispanic",0,0,0,0,0,46,3.34782608695652,8,1,0,0,0,0,1,1,4,3.425,0,NA,NA,NA
365,"Year 1 Fall",166,2321,"ENG 1","Female",17,"Asian",0,0,0,0,0,36,3.66666666666667,8,1,0,0,0,0,0,1,4,3.489,0,NA,NA,NA
366,"Year 1 Fall",165,1953,"ENG 1","Male",17,"Mixed Ethnicity",0,0,0,0,0,46,3.54347826086957,8,1,0,0,0,0,0,1,3,3.177,0,NA,NA,NA
367,"Year 1 Fall",165,1953,"ENG 1","Female",17,"White, Non-Hispanic",0,0,0,0,0,45,3.2,8,1,0,0,0,0,0,1,3,NA,0,NA,NA,NA
368,"Year 1 Fall",166,2321,"ENG 1","Male",17,"Asian",0,0,0,0,0,45,3.26666666666667,8,1,0,0,0,0,0,1,2,NA,0,NA,NA,NA
369,"Year 1 Fall",165,1953,"ENG 1","Female",17,"Asian",0,0,0,0,0,45,2.53333333333333,8,1,0,0,0,0,0,1,2,3.581,0,NA,NA,NA
370,"Year 1 Fall",166,2321,"ENG 1","Female",17,"Asian",0,0,0,0,0,42,3.35714285714286,8,1,0,0,0,0,0,1,3,3.389,0,NA,NA,NA
371,"Year 1 Fall",166,2321,"ENG 1","Female",17,"Asian",0,0,0,0,0,41,4,8,1,0,0,0,0,0,1,4,3.913,0,NA,NA,NA
372,"Year 1 Fall",165,1953,"ENG 1","Female",16,"White, Non-Hispanic",0,0,0,0,0,42,3.5,8,1,0,0,0,0,0,1,4,3.277,0,NA,NA,NA
373,"Year 1 Fall",166,2321,"ENG 1","Female",16,"White, Non-Hispanic",0,0,0,0,0,36,3.25,11,1,0,0,0,0,0,1,3,3.533,0,NA,NA,NA
374,"Year 1 Fall",165,1953,"ENG 1","Female",17,"White, Non-Hispanic",0,0,0,0,0,46,3.73913043478261,8,1,0,0,0,0,1,1,4,3.924,0,NA,NA,NA
375,"Year 1 Fall",165,1953,"ENG 1","Decline",17,"Hispanic / Latino",0,0,0,0,0,40,3.925,8,1,0,0,0,0,0,1,4,NA,0,NA,NA,NA
376,"Year 1 Fall",165,1953,"ENG 1","Female",17,"Hispanic / Latino",0,0,0,0,0,42,3.5,8,1,0,0,0,0,0,1,4,3.238,0,NA,NA,NA
377,"Year 1 Fall",166,2321,"ENG 1","Female",17,"White, Non-Hispanic",0,0,0,0,0,36,3.83333333333333,8,1,0,0,0,0,0,1,3,3.874,0,NA,NA,NA
378,"Year 1 Fall",166,2321,"ENG 1","Male",16,"Asian",0,0,0,0,0,40,2.6,11,1,0,0,0,0,0,0,1,2.622,0,NA,NA,NA
379,"Year 1 Fall",165,1953,"ENG 1","Female",16,"White, Non-Hispanic",0,0,0,0,0,42,4,4,1,0,0,0,0,0,1,4,3.971,0,NA,NA,NA
380,"Year 1 Fall",165,1953,"ENG 1","Male",17,"Mixed Ethnicity",0,0,0,0,0,40,4,8,1,0,0,0,0,0,1,4,3.942,0,NA,NA,NA
381,"Year 1 Fall",166,2321,"ENG 1","Female",17,"Asian",1,0,0,0,0,39,3.07692307692308,8,1,0,0,0,0,0,1,3,3.272,0,NA,NA,NA
382,"Year 1 Fall",165,1953,"ENG 1","Female",17,"Asian",0,0,0,0,0,36,4,8,1,0,0,0,0,0,1,4,3.98,0,NA,NA,NA
383,"Year 1 Fall",165,1953,"ENG 1","Female",17,"White, Non-Hispanic",0,0,0,0,0,43,3.30232558139535,11,1,0,0,0,0,0,1,4,3.788,0,NA,NA,NA
384,"Year 1 Fall",165,1953,"ENG 1","Female",17,"White, Non-Hispanic",0,0,0,0,0,39,3.76923076923077,8,1,0,0,0,0,1,1,4,3.73,0,NA,NA,NA
385,"Year 1 Fall",165,1953,"ENG 1","Decline",17,"White, Non-Hispanic",0,0,0,0,0,45,3.4,8,1,0,0,0,0,0,1,4,NA,0,NA,NA,NA
386,"Year 1 Fall",165,1953,"ENG 1","Female",17,"Mixed Ethnicity",0,0,0,0,0,42,4,8,1,0,0,0,0,0,1,4,3.743,0,NA,NA,NA
387,"Year 1 Fall",166,2321,"ENG 1","Male",17,"Asian",0,0,0,0,0,36,3.33333333333333,8,1,0,0,0,0,0,1,4,3.711,0,NA,NA,NA
388,"Year 1 Fall",165,1953,"ENG 1","Female",17,"Mixed Ethnicity",0,0,0,0,0,47,2.59574468085106,8,1,0,0,0,0,1,1,3,3.72,0,NA,NA,NA
389,"Year 1 Fall",165,1953,"ENG 1","Male",17,"Pacific Islander",0,0,0,0,0,39,4,8,1,0,0,0,0,0,1,4,4,0,NA,NA,NA
390,"Year 1 Fall",166,2321,"ENG 1","Male",17,"Mixed Ethnicity",0,0,0,0,0,40,2.75,8,1,0,0,0,0,0,1,3,3.135,0,NA,NA,NA
391,"Year 1 Fall",166,2321,"ENG 1","Female",16,"White, Non-Hispanic",0,0,0,0,0,39,2.92307692307692,8,1,0,0,0,0,0,1,3,3.197,0,NA,NA,NA
392,"Year 1 Fall",165,1953,"ENG 1","Male",17,"Mixed Ethnicity",0,0,0,0,0,40,3.7,8,1,0,0,0,0,0,1,4,3.794,0,NA,NA,NA
393,"Year 1 Fall",166,2321,"ENG 1","Female",16,"Asian",0,0,0,0,0,46,3.60869565217391,8,1,0,0,0,0,0,1,4,3.571,0,NA,NA,NA
394,"Year 1 Fall",166,2321,"ENG 1","Female",17,"Decline to State",0,0,0,0,0,36,3.41666666666667,8,1,0,0,0,0,0,1,3,3.674,0,NA,NA,NA
395,"Year 1 Fall",166,2321,"ENG 1","Female",17,"Asian",0,0,0,0,0,44,3.52272727272727,8,1,0,0,0,0,0,1,4,3.826,0,NA,NA,NA
396,"Year 1 Fall",107,6216,"ENG 1","Female",19,"White, Non-Hispanic",0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,4,3.6,0,NA,NA,NA
398,"Year 1 Fall",115,1938,"ENG 1","Male",20,"White, Non-Hispanic",1,0,0,0,1,31,2.19354838709677,10,0,0,0,0,0,0,1,3,3.3,1,NA,NA,NA
400,"Year 1 Fall",166,2321,"ENG 1","Male",17,"Asian",0,0,0,0,0,36,3.41666666666667,8,1,0,0,0,0,0,1,3,3.55,0,NA,NA,NA
401,"Year 1 Fall",166,2321,"ENG 1","Female",17,"Mixed Ethnicity",0,0,0,0,0,36,3.16666666666667,11,1,0,0,0,0,0,1,4,NA,0,NA,NA,NA
404,"Year 1 Fall",98,1980,"ENG 1","Female",23,"White, Non-Hispanic",0,0,0,0,0,52,3.71153846153846,14,0,0,0,0,0,0,1,4,NA,0,NA,NA,NA
409,"Year 1 Fall",115,1938,"ENG 1","Female",36,"Asian",1,0,0,0,1,46.5,3.80645161290323,4,0,0,0,0,0,0,1,3,NA,1,NA,NA,NA
