,Student_ID,Term,Section_ID,Instructor_ID,Main_CourseID,Age,FirstGen,Military,FosterYouth,DSPS,FinAid,Units_Attempted_Beg_Of_Term,GPA_Beg_Of_Term,TermUnitsAttempted,K12_Student,First_Time_College_Student,Nonresident_Tuition_Exempt,International,Nonresident,WR_Center,Main_Course_SuccessFlag,Main_Course_GradePoints,HS_GPA,Online,N_Center_Visits,Center_Attendance_Hours,N_Conf,WR_Center_FailFlag,HS_GPA_Flag,CC_GPA_Flag,Gender_Female,Gender_Male,Ethnicity_Asian,Ethnicity_Hispanic / Latino,Ethnicity_Mixed Ethnicity,"Ethnicity_White, Non-Hispanic"
14,41,Year 1 Fall,113,9569,ENG 1,23,0,0,0,0,1,28.0,2.53571428571429,7.0,0,0,0,0,0,0,1,3,,1,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,1
15,43,Year 1 Fall,88,8483,ENG 1,23,0,1,0,0,0,23.0,3.47826086956522,9.0,0,0,0,0,0,0,1,4,3.0,0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,1
16,46,Year 1 Fall,77,1658,ENG 1,21,1,0,0,0,1,44.0,3.11363636363636,15.0,0,0,0,0,0,0,0,1,2.4,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,1
18,55,Year 1 Fall,92,1597,ENG 1,24,0,0,0,1,0,70.5,3.21985815602837,7.0,0,0,0,0,0,0,1,4,3.271,0,0.0,0.0,0.0,0.0,1,1,0,1,0,1,0,0
19,58,Year 1 Fall,99,2357,ENG 1,22,0,0,0,0,1,19.0,1.73684210526316,7.0,0,0,0,0,0,0,1,3,2.4,0,0.0,0.0,0.0,0.0,1,1,0,1,0,1,0,0
21,65,Year 1 Fall,72,2038,ENG 1,23,1,0,0,0,1,13.0,2.76923076923077,4.0,0,0,0,0,0,0,1,2,2.5,0,0.0,0.0,0.0,0.0,1,1,0,1,0,1,0,0
22,76,Year 1 Fall,99,2357,ENG 1,22,1,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,3.0,0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0
23,78,Year 1 Fall,103,9412,ENG 1,18,1,0,0,0,0,0.0,,12.0,0,1,0,0,0,0,1,4,3.7,0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0
25,86,Year 1 Fall,87,3984,ENG 1,32,1,0,0,0,1,25.5,2.43137254901961,14.0,0,0,0,0,0,1,1,4,3.0,0,43.0,49.4675,32.0,0.0,1,1,1,0,0,0,0,1
26,93,Year 1 Fall,72,2038,ENG 1,22,0,0,0,0,0,41.0,2.07317073170732,5.0,0,0,0,0,0,0,1,3,2.9,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,1
27,97,Year 1 Fall,105,1612,ENG 1,22,0,0,0,0,1,34.5,2.34782608695652,13.0,0,0,0,0,0,0,1,3,2.729,0,0.0,0.0,0.0,0.0,1,1,1,0,1,0,0,0
28,98,Year 1 Fall,103,9412,ENG 1,22,1,0,0,0,1,49.5,2.1010101010101,0.0,0,0,0,0,0,0,0,0,,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,1
29,99,Year 1 Fall,221,9102,ENG 1,26,1,0,0,0,1,50.0,2.72,13.0,0,0,0,0,0,0,1,3,3.0,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,1
30,109,Year 1 Fall,95,2351,ENG 1,21,1,0,0,0,1,25.5,3.64705882352941,9.0,0,0,0,0,0,0,0,0,,0,0.0,0.0,0.0,0.0,0,1,0,1,1,0,0,0
31,112,Year 1 Fall,87,3984,ENG 1,20,1,0,0,1,1,46.0,2.93478260869565,13.0,0,0,0,0,0,0,1,3,3.119,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,1,0
32,113,Year 1 Fall,115,1938,ENG 1,50,0,0,0,0,1,43.0,3.76744186046512,7.5,0,0,0,0,0,0,0,0,,1,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1
33,118,Year 1 Fall,115,1938,ENG 1,22,1,0,0,0,1,57.5,2.83478260869565,14.0,0,0,0,0,0,1,1,4,,1,18.0,25.6508333333333,1.0,1.0,0,1,1,0,0,0,0,1
34,124,Year 1 Fall,81,2001,ENG 1,26,0,0,0,0,1,48.0,2.77083333333333,12.0,0,0,0,0,0,0,1,4,2.5,0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,0,0
35,135,Year 1 Fall,79,9014,ENG 1,23,0,0,0,1,0,66.5,2.44360902255639,9.0,0,0,0,1,0,0,0,0,,0,0.0,0.0,0.0,0.0,0,1,0,1,1,0,0,0
36,138,Year 1 Fall,108,8975,ENG 1,25,0,0,0,0,1,0.0,,9.0,0,0,0,0,0,1,1,3,3.2,0,57.0,52.4425,5.0,0.0,1,0,0,1,0,0,0,1
37,140,Year 1 Fall,115,1938,ENG 1,47,0,0,0,0,1,72.5,3.93103448275862,7.0,0,0,0,0,0,0,1,4,,1,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0
38,141,Year 1 Fall,82,1658,ENG 1,21,1,0,0,0,1,75.0,2.78666666666667,20.0,0,0,0,0,0,0,1,2,3.12,0,0.0,0.0,0.0,0.0,1,1,0,1,0,1,0,0
39,146,Year 1 Fall,87,3984,ENG 1,37,1,0,0,0,0,28.0,3.48214285714286,4.0,0,0,0,0,0,1,1,4,,0,18.0,24.3394444444444,8.0,0.0,0,1,1,0,0,0,0,1
40,147,Year 1 Fall,98,1980,ENG 1,25,1,0,0,0,1,18.0,3.44444444444444,10.5,0,0,0,0,0,0,0,0,2.5,0,0.0,0.0,0.0,0.0,1,1,0,1,0,1,0,0
41,149,Year 1 Fall,164,9935,ENG 1,23,1,0,0,0,1,78.5,2.50955414012739,7.0,0,0,0,0,0,0,1,2,,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0
42,151,Year 1 Fall,92,1597,ENG 1,24,1,0,0,0,0,79.5,2.85534591194969,13.0,0,0,0,1,0,1,1,3,,0,16.0,26.9063888888889,1.0,1.0,0,1,1,0,1,0,0,0
43,163,Year 1 Fall,98,1980,ENG 1,21,0,0,0,0,1,49.0,2.97959183673469,7.0,0,0,0,0,0,0,1,3,3.148,0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,1,0
45,171,Year 1 Fall,111,8605,ENG 1,21,0,0,0,1,0,29.5,2.27118644067797,15.0,0,0,0,0,0,1,1,3,3.4,1,29.0,27.7425,9.0,0.0,1,1,1,0,0,0,0,1
46,177,Year 1 Fall,115,1938,ENG 1,41,1,0,0,0,1,20.0,3.05,9.0,0,0,0,0,0,0,0,0,,1,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0
47,178,Year 1 Fall,111,8605,ENG 1,56,0,0,0,0,0,10.5,1.71428571428571,3.0,0,0,0,0,0,0,0,0,,1,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,1
48,182,Year 1 Fall,109,8483,ENG 1,48,0,0,0,0,1,9.0,0.0,11.0,0,0,0,0,0,1,0,0,,0,43.0,36.8538888888889,4.0,0.0,0,1,0,1,0,1,0,0
49,183,Year 1 Fall,77,1658,ENG 1,40,1,0,0,0,1,34.5,3.76811594202899,11.0,0,0,0,0,0,0,1,0,3.5,0,0.0,0.0,0.0,0.0,1,1,1,0,1,0,0,0
51,186,Year 1 Fall,84,2001,ENG 1,30,0,0,0,0,1,77.5,3.12258064516129,15.0,0,0,0,0,0,0,1,4,,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1
52,189,Year 1 Fall,96,1900,ENG 1,28,0,0,0,0,1,22.0,4.0,7.0,0,0,0,0,0,1,1,4,3.4,0,14.0,25.0472222222222,0.0,0.0,1,1,1,0,0,0,0,1
53,191,Year 1 Fall,88,8483,ENG 1,30,1,0,0,0,1,66.5,2.90225563909774,0.0,0,0,0,0,0,0,0,0,,0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,0,0
54,192,Year 1 Fall,114,1938,ENG 1,43,0,0,0,0,0,3.5,3.14285714285714,4.0,0,0,0,0,0,0,0,0,,1,0.0,0.0,0.0,0.0,0,1,1,0,0,0,1,0
55,193,Year 1 Fall,115,1938,ENG 1,43,0,0,0,0,1,104.0,2.75,4.0,0,0,0,0,0,1,1,4,,1,0.0,0.0,0.0,0.0,0,1,0,1,1,0,0,0
56,197,Year 1 Fall,99,2357,ENG 1,31,0,0,0,1,0,79.5,2.46540880503145,11.0,0,0,1,0,0,0,1,3,,0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,0,0
57,215,Year 1 Fall,166,2321,ENG 1,48,1,0,0,0,0,16.0,2.375,10.0,0,0,0,0,0,0,1,3,3.0,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,1,0
58,221,Year 1 Fall,112,9569,ENG 1,41,1,0,0,0,1,48.0,3.91666666666667,4.0,0,0,0,0,0,0,1,4,,1,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,1
60,235,Year 1 Fall,100,910,ENG 1,24,0,0,0,0,1,40.5,2.44444444444444,7.0,0,0,0,0,0,0,1,4,,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,1
62,247,Year 1 Fall,101,3984,ENG 1,24,0,0,0,0,1,24.5,2.20408163265306,4.5,0,0,0,0,0,0,0,1,1.784,0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,0
63,248,Year 1 Fall,104,1612,ENG 1,25,1,0,0,0,1,32.5,1.33846153846154,7.0,0,0,0,0,0,0,0,0,2.5,0,0.0,0.0,0.0,0.0,1,1,0,1,0,1,0,0
65,252,Year 1 Fall,113,9569,ENG 1,25,0,0,0,0,1,79.5,2.70440251572327,10.0,0,0,0,0,0,0,1,3,2.5,1,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,1
66,255,Year 1 Fall,102,1672,ENG 1,22,0,0,0,0,0,39.0,2.92307692307692,4.0,0,0,0,0,0,0,1,4,2.8,0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,1,0
67,270,Year 1 Fall,83,9927,ENG 1,19,0,0,0,0,1,23.0,3.69565217391304,16.0,0,0,0,0,0,0,1,4,3.7,0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,0
69,282,Year 1 Fall,101,3984,ENG 1,44,1,0,0,0,1,110.5,3.6289592760181,7.0,0,0,0,0,0,0,1,3,,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,1
70,283,Year 1 Fall,88,8483,ENG 1,25,0,0,0,0,1,26.0,2.61538461538462,3.0,0,0,0,0,0,0,1,0,2.7,0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,1
71,291,Year 1 Fall,97,1833,ENG 1,23,0,0,0,0,0,64.0,2.125,14.0,0,0,0,0,0,0,0,1,,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0
72,296,Year 1 Fall,83,9927,ENG 1,21,0,0,0,0,1,15.5,2.51612903225806,0.0,0,0,0,0,0,0,0,0,2.8,0,0.0,0.0,0.0,0.0,1,1,1,0,1,0,0,0
73,298,Year 1 Fall,164,9935,ENG 1,18,0,0,0,0,0,3.0,4.0,16.0,0,1,0,0,0,0,1,4,3.48,0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,0,0
74,300,Year 1 Fall,104,1612,ENG 1,21,0,0,1,1,1,8.0,2.625,9.0,0,0,0,0,0,1,0,0,2.5,0,24.0,24.7305555555556,4.0,0.0,1,1,1,0,0,1,0,0
75,301,Year 1 Fall,77,1658,ENG 1,19,1,0,0,0,1,25.0,2.64,12.0,0,0,0,0,0,1,1,3,2.43,0,17.0,25.1233333333333,0.0,0.0,1,1,0,1,0,0,0,1
76,305,Year 1 Fall,72,2038,ENG 1,22,0,0,0,0,1,56.0,2.66071428571429,10.0,0,0,0,0,0,0,1,2,,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,1,0
77,308,Year 1 Fall,101,3984,ENG 1,21,0,0,0,1,1,52.5,3.12380952380952,7.0,0,0,0,0,0,0,1,3,,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,1
78,309,Year 1 Fall,84,2001,ENG 1,21,0,0,0,0,0,40.0,3.225,8.0,0,0,0,0,0,0,0,0,,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1
81,318,Year 1 Fall,99,2357,ENG 1,25,0,0,0,0,0,45.0,2.2,13.0,0,0,1,0,0,0,1,4,2.848,0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,0
82,319,Year 1 Fall,72,2038,ENG 1,21,0,0,0,1,0,21.0,2.28571428571429,4.0,0,0,0,0,0,0,0,0,1.697,0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,1
83,323,Year 1 Fall,102,1672,ENG 1,20,0,0,0,0,0,48.0,2.125,13.0,0,0,0,0,0,0,0,0,3.3,0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,1
84,327,Year 1 Fall,83,9927,ENG 1,29,0,0,0,1,1,27.5,2.8,4.0,0,0,0,0,0,0,1,4,2.671,0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,0
85,328,Year 1 Fall,94,1649,ENG 1,18,0,0,0,0,0,4.0,3.0,15.0,0,1,0,0,0,0,1,2,3.14,0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,1,0
86,329,Year 1 Fall,77,1658,ENG 1,21,1,1,0,1,1,37.0,1.91891891891892,0.0,0,0,0,0,0,0,0,0,3.0,0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,0,0
87,330,Year 1 Fall,70,9412,ENG 1,19,0,0,0,0,0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,2.67,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,1
88,331,Year 1 Fall,90,2321,ENG 1,21,0,0,0,0,1,20.0,3.5,16.0,0,0,0,0,0,0,1,3,3.1,0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,1,0
89,333,Year 1 Fall,73,9589,ENG 1,18,0,0,0,0,0,21.0,0.857142857142857,0.0,0,0,0,0,0,0,0,1,2.6,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,1,0
90,334,Year 1 Fall,93,2017,ENG 1,22,1,0,0,0,1,49.0,2.83673469387755,12.0,0,0,0,0,0,0,1,4,3.0,0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,1,0
91,335,Year 1 Fall,82,1658,ENG 1,19,1,0,0,0,0,23.0,3.73913043478261,19.0,0,0,0,0,0,0,1,3,3.02,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,1,0
92,336,Year 1 Fall,221,9102,ENG 1,17,0,0,0,0,0,17.0,3.11764705882353,18.0,0,0,0,0,0,0,1,3,3.8,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,1,0
93,337,Year 1 Fall,88,8483,ENG 1,18,1,0,0,0,1,6.0,3.5,16.0,0,1,0,0,0,0,1,3,3.5,0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,0,0
94,340,Year 1 Fall,82,1658,ENG 1,21,0,0,0,0,0,36.0,3.69444444444444,14.0,0,0,0,0,0,0,1,3,3.89,0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,1
95,341,Year 1 Fall,86,1515,ENG 1,18,0,0,0,0,1,0.0,,8.5,0,1,0,0,0,0,0,1,2.8,0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,1
96,342,Year 1 Fall,115,1938,ENG 1,52,0,0,0,0,1,50.5,3.2970297029703,7.0,0,0,0,0,0,0,1,3,,1,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0
97,343,Year 1 Fall,81,2001,ENG 1,18,0,0,0,0,1,10.0,4.0,4.0,0,0,0,0,0,0,0,0,3.9,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,1
98,345,Year 1 Fall,95,2351,ENG 1,18,1,0,0,0,1,32.0,2.625,13.0,0,0,0,0,0,0,1,2,3.1,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,1,0
99,347,Year 1 Fall,98,1980,ENG 1,17,0,0,0,0,1,5.0,4.0,11.0,0,1,0,0,0,0,1,4,3.73,0,0.0,0.0,0.0,0.0,1,1,1,0,1,0,0,0
100,348,Year 1 Fall,106,2017,ENG 1,21,1,0,0,0,1,39.0,2.0,6.0,0,0,1,0,0,0,0,0,,0,0.0,0.0,0.0,0.0,0,1,0,1,1,0,0,0
101,350,Year 1 Fall,90,2321,ENG 1,19,0,1,1,0,1,10.0,3.5,14.0,0,0,0,0,0,0,1,3,3.0,0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,0,0
102,351,Year 1 Fall,166,2321,ENG 1,16,0,0,0,0,0,36.0,4.0,8.0,1,0,0,0,0,0,1,4,3.8,0,0.0,0.0,0.0,0.0,1,1,1,0,1,0,0,0
103,354,Year 1 Fall,91,5224,ENG 1,17,0,0,0,1,0,3.0,3.0,13.5,0,1,0,0,0,0,1,3,2.7,0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,1
104,355,Year 1 Fall,99,2357,ENG 1,21,0,0,0,0,1,37.0,2.21621621621622,0.0,0,0,0,0,0,0,0,0,2.8,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,1
105,356,Year 1 Fall,77,1658,ENG 1,49,1,0,0,0,1,83.0,3.60240963855422,4.0,0,0,0,0,0,1,1,4,,0,25.0,24.2175,19.0,0.0,0,1,1,0,1,0,0,0
106,357,Year 1 Fall,80,9935,ENG 1,18,0,0,0,1,0,0.0,,13.0,0,1,0,0,0,0,1,4,2.68,0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,1
107,358,Year 1 Fall,99,2357,ENG 1,18,1,0,0,0,1,3.0,2.0,15.0,0,1,0,0,0,0,1,3,3.5,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,1
108,360,Year 1 Fall,87,3984,ENG 1,19,0,0,0,0,1,30.0,3.9,18.0,0,0,0,0,0,1,1,4,3.9,0,8.0,6.8375,2.0,1.0,1,1,0,1,0,0,0,1
110,362,Year 1 Fall,166,2321,ENG 1,16,0,0,0,0,0,44.0,3.11363636363636,8.0,1,0,0,0,0,0,1,3,3.07,0,0.0,0.0,0.0,0.0,1,1,1,0,1,0,0,0
111,363,Year 1 Fall,165,1953,ENG 1,17,0,0,0,0,0,45.0,3.93333333333333,8.0,1,0,0,0,0,1,1,4,3.936,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,1
112,364,Year 1 Fall,165,1953,ENG 1,16,0,0,0,0,0,46.0,3.34782608695652,8.0,1,0,0,0,0,1,1,4,3.425,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,1
113,365,Year 1 Fall,166,2321,ENG 1,17,0,0,0,0,0,36.0,3.66666666666667,8.0,1,0,0,0,0,0,1,4,3.489,0,0.0,0.0,0.0,0.0,1,1,1,0,1,0,0,0
114,366,Year 1 Fall,165,1953,ENG 1,17,0,0,0,0,0,46.0,3.54347826086957,8.0,1,0,0,0,0,0,1,3,3.177,0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,1,0
115,367,Year 1 Fall,165,1953,ENG 1,17,0,0,0,0,0,45.0,3.2,8.0,1,0,0,0,0,0,1,3,,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,1
116,368,Year 1 Fall,166,2321,ENG 1,17,0,0,0,0,0,45.0,3.26666666666667,8.0,1,0,0,0,0,0,1,2,,0,0.0,0.0,0.0,0.0,0,1,0,1,1,0,0,0
117,369,Year 1 Fall,165,1953,ENG 1,17,0,0,0,0,0,45.0,2.53333333333333,8.0,1,0,0,0,0,0,1,2,3.581,0,0.0,0.0,0.0,0.0,1,1,1,0,1,0,0,0
118,370,Year 1 Fall,166,2321,ENG 1,17,0,0,0,0,0,42.0,3.35714285714286,8.0,1,0,0,0,0,0,1,3,3.389,0,0.0,0.0,0.0,0.0,1,1,1,0,1,0,0,0
119,371,Year 1 Fall,166,2321,ENG 1,17,0,0,0,0,0,41.0,4.0,8.0,1,0,0,0,0,0,1,4,3.913,0,0.0,0.0,0.0,0.0,1,1,1,0,1,0,0,0
120,372,Year 1 Fall,165,1953,ENG 1,16,0,0,0,0,0,42.0,3.5,8.0,1,0,0,0,0,0,1,4,3.277,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,1
121,373,Year 1 Fall,166,2321,ENG 1,16,0,0,0,0,0,36.0,3.25,11.0,1,0,0,0,0,0,1,3,3.533,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,1
122,374,Year 1 Fall,165,1953,ENG 1,17,0,0,0,0,0,46.0,3.73913043478261,8.0,1,0,0,0,0,1,1,4,3.924,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,1
124,376,Year 1 Fall,165,1953,ENG 1,17,0,0,0,0,0,42.0,3.5,8.0,1,0,0,0,0,0,1,4,3.238,0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,0
125,377,Year 1 Fall,166,2321,ENG 1,17,0,0,0,0,0,36.0,3.83333333333333,8.0,1,0,0,0,0,0,1,3,3.874,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,1
126,378,Year 1 Fall,166,2321,ENG 1,16,0,0,0,0,0,40.0,2.6,11.0,1,0,0,0,0,0,0,1,2.622,0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,0,0
127,379,Year 1 Fall,165,1953,ENG 1,16,0,0,0,0,0,42.0,4.0,4.0,1,0,0,0,0,0,1,4,3.971,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,1
128,380,Year 1 Fall,165,1953,ENG 1,17,0,0,0,0,0,40.0,4.0,8.0,1,0,0,0,0,0,1,4,3.942,0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,1,0
129,381,Year 1 Fall,166,2321,ENG 1,17,1,0,0,0,0,39.0,3.07692307692308,8.0,1,0,0,0,0,0,1,3,3.272,0,0.0,0.0,0.0,0.0,1,1,1,0,1,0,0,0
130,382,Year 1 Fall,165,1953,ENG 1,17,0,0,0,0,0,36.0,4.0,8.0,1,0,0,0,0,0,1,4,3.98,0,0.0,0.0,0.0,0.0,1,1,1,0,1,0,0,0
131,383,Year 1 Fall,165,1953,ENG 1,17,0,0,0,0,0,43.0,3.30232558139535,11.0,1,0,0,0,0,0,1,4,3.788,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,1
132,384,Year 1 Fall,165,1953,ENG 1,17,0,0,0,0,0,39.0,3.76923076923077,8.0,1,0,0,0,0,1,1,4,3.73,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,1
134,386,Year 1 Fall,165,1953,ENG 1,17,0,0,0,0,0,42.0,4.0,8.0,1,0,0,0,0,0,1,4,3.743,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,1,0
135,387,Year 1 Fall,166,2321,ENG 1,17,0,0,0,0,0,36.0,3.33333333333333,8.0,1,0,0,0,0,0,1,4,3.711,0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,0,0
136,388,Year 1 Fall,165,1953,ENG 1,17,0,0,0,0,0,47.0,2.59574468085106,8.0,1,0,0,0,0,1,1,3,3.72,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,1,0
138,390,Year 1 Fall,166,2321,ENG 1,17,0,0,0,0,0,40.0,2.75,8.0,1,0,0,0,0,0,1,3,3.135,0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,1,0
139,391,Year 1 Fall,166,2321,ENG 1,16,0,0,0,0,0,39.0,2.92307692307692,8.0,1,0,0,0,0,0,1,3,3.197,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,1
140,392,Year 1 Fall,165,1953,ENG 1,17,0,0,0,0,0,40.0,3.7,8.0,1,0,0,0,0,0,1,4,3.794,0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,1,0
141,393,Year 1 Fall,166,2321,ENG 1,16,0,0,0,0,0,46.0,3.60869565217391,8.0,1,0,0,0,0,0,1,4,3.571,0,0.0,0.0,0.0,0.0,1,1,1,0,1,0,0,0
143,395,Year 1 Fall,166,2321,ENG 1,17,0,0,0,0,0,44.0,3.52272727272727,8.0,1,0,0,0,0,0,1,4,3.826,0,0.0,0.0,0.0,0.0,1,1,1,0,1,0,0,0
